Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
Friday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
AERO2005/L1/01,Control of Aerospace Systems,Lecture,16,Friday,9:00,12:00,3:00,IAMET- 218 (Teaching room)+,IAMET- 218,77,A Aero New 3,"2, 4-10, 13-14, 17-18"
AERO1000/P1/04,Aerospace Design and Materials,Practical,13,Friday,9:00,12:00,3:00,IAMET-101(Lab)+,IAMET-101,18,"Benli Fang,Haonan Li",5
AERO1000/P1/03,Aerospace Design and Materials,Practical,13,Friday,9:00,12:00,3:00,IAMET-101(Lab)+,IAMET-101,18,"Benli Fang,Haonan Li",6
AERO1001/P1/02,Aerospace Statics and Dynamics,Practical,1,Friday,9:00,12:00,3:00,PMB-202*,PMB Lab Room 202 - Level 2 - Geotechic Lab,20,"Chungket Thein,Benli Fang",14
AERO2000/S1/01,Aerospace Design 2,Seminar,16,Friday,13:00,15:00,2:00,IAMET- 218 (Teaching room)+,IAMET- 218,77,Haonan Li,"2, 4-10, 13-14, 17-18"
AERO1003/L1/01,Aircraft design and Performance,Lecture,55,Friday,15:00,18:00,3:00,IAMET- 218 (Teaching room)+,IAMET- 218,77,Yixiang Xu,"2, 4-10, 13-14, 17-18"
AERO2000/P1/02,Aerospace Design 2,Practical,4,Friday,15:00,18:00,3:00,,,,Haonan Li,9
AERO2000/P1/04,Aerospace Design 2,Practical,4,Friday,15:00,18:00,3:00,,,,Haonan Li,10
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Weeks 2 & 4-14 = Autumn semester; Weeks 23-34 = Spring semester,,,,,,,,,,,,
